ts	phase	decision	why	evidence	result
2026-08-25T16:27:30Z	inventory	Use an isolated local Upgrade clone based on beta3 candidate b1df38e1404e48bf228fc75aee507628562bcc6d	The live OpenClaw checkout is detached and the deployed beta3 release checkout must remain immutable	git status; git rev-parse HEAD; office-mac read-only inventory	verified
2026-08-25T16:27:30Z	inventory	Preserve production on OpenClaw 2026.8.1-beta.3 with Slack active and SMS disabled until final cutover approval	The task prohibits production mutation and requires Slack fallback plus exact morning-brief preservation	office-mac gateway status; plugins list; cron list	verified
2026-08-25T16:27:30Z	package	Pin the native SMS implementation to @openclaw/sms 2026.8.1-beta.3 at beta3 source commit 5831b80721f8	The deployed runtime is beta3 and package/source drift must fail closed	extensions/sms/package.json; dist/build-info.json; git log	verified
2026-08-25T16:52:00Z	protocol	Reuse the canonical OpenClaw approval ledger and one-shot redemption	Codex and OpenClaw remove pending approvals on resolution and consume allow-once exactly once	../codex/codex-rs/core/src/session/mod.rs; src/gateway/exec-approval-manager.ts	verified
2026-08-25T16:52:00Z	design	Use SMS as a restricted forwarding and typed-command surface	Avoids a second approval store while adding channel-owned authorization, redacted rendering, and outbound allowlist gates	src/infra/exec-approval-forwarder.ts; src/auto-reply/reply/commands-approve.ts	verified
2026-08-25T16:52:00Z	security	Expose allow-once and deny only on SMS	Durable allow-always authority is outside the authorized SMS contract	packages/gateway-protocol/src/schema/approvals.ts; extensions/sms/src/approval-bridge.test.ts	verified
2026-08-25T18:15:00Z	testing	Retain the pre-existing MMS retry timeout outside this bounded change	The exact test times out unchanged at beta3 base b1df38e; the other 352 SMS tests and all 66 focused approval tests pass	/tmp/openclaw-beta3-sms-baseline; extensions/sms/src/ingress-spool.test.ts	verified-baseline-debt
2026-08-25T18:16:00Z	testing	Report core-test typecheck failures as beta3 baseline debt	The unchanged beta3 worktree produces the same two TS2698 errors in the isolated-agent policy test	/tmp/openclaw-beta3-sms-baseline; src/cron/isolated-agent/run.message-tool-policy.test.ts	verified-baseline-debt
2026-08-25T18:15:00Z	security	Bind SMS resolution to account custody, exact owner sender, immutable action, expiry, and one-time redemption	The canonical Gateway filters records by channel custody and the system-run binding rejects drift before one-shot consumption	src/gateway/approval-channel-custody.ts; src/infra/system-run-approval-binding.ts; extensions/sms/src/approval-disposable.test.ts	verified
2026-08-25T20:00:00Z	review	Accept the bounded implementation after isolated second-model review	The exact uncommitted bundle passed TruffleHog and returned no accepted or actionable findings	.agents/skills/autoreview/scripts/autoreview --mode uncommitted	verified
